Indice,File,Diff_media
160,03500_07000_label_free.tif,49.0612
161,03500_07500_label_free.tif,47.8072
162,03500_08000_label_free.tif,50.3358
163,03500_08500_label_free.tif,52.6174
164,03500_09000_label_free.tif,56.7631
165,03500_09500_label_free.tif,47.6326
166,03500_10000_label_free.tif,40.7439
167,03500_10500_label_free.tif,36.5688
168,03500_11000_label_free.tif,36.2054
169,03500_11500_label_free.tif,36.5097
170,03500_12000_label_free.tif,38.4436
171,03500_12500_label_free.tif,41.025
172,03500_13000_label_free.tif,40.9433
173,03500_13500_label_free.tif,39.1352
174,03500_14000_label_free.tif,38.0261
175,03500_14500_label_free.tif,37.064
176,03500_15000_label_free.tif,36.1079
177,03500_15500_label_free.tif,39.1248
178,03500_16000_label_free.tif,45.6841
179,03500_16500_label_free.tif,53.7488
180,03500_17000_label_free.tif,52.7038
181,03500_17500_label_free.tif,41.8401
182,03500_18000_label_free.tif,31.837
183,03500_18500_label_free.tif,29.2076
184,03500_19000_label_free.tif,28.1189
185,04000_02500_label_free.tif,19.0275
186,04000_03000_label_free.tif,35.9041
187,04000_03500_label_free.tif,34.5561
188,04000_04000_label_free.tif,33.5163
189,04000_04500_label_free.tif,36.2688
190,04000_05000_label_free.tif,47.3294
191,04000_05500_label_free.tif,44.4432
192,04000_06000_label_free.tif,41.1627
193,04000_06500_label_free.tif,41.2166
194,04000_07000_label_free.tif,43.7955
195,04000_07500_label_free.tif,43.099
196,04000_08000_label_free.tif,43.9302
197,04000_08500_label_free.tif,44.3429
198,04000_09000_label_free.tif,47.1974
199,04000_09500_label_free.tif,42.4848
200,04000_10000_label_free.tif,40.3058
201,04000_10500_label_free.tif,38.8357
202,04000_11000_label_free.tif,38.7611
203,04000_11500_label_free.tif,38.7728
204,04000_12000_label_free.tif,39.5073
205,04000_12500_label_free.tif,40.6153
206,04000_13000_label_free.tif,39.5656
207,04000_13500_label_free.tif,37.7114
208,04000_14000_label_free.tif,37.4108
209,04000_14500_label_free.tif,36.7425
