Indice,File,Diff_media
160,03500_07000_label_free.tif,32.556
161,03500_07500_label_free.tif,31.1017
162,03500_08000_label_free.tif,32.2385
163,03500_08500_label_free.tif,42.1449
164,03500_09000_label_free.tif,44.4468
165,03500_09500_label_free.tif,36.3151
166,03500_10000_label_free.tif,31.4731
167,03500_10500_label_free.tif,33.1331
168,03500_11000_label_free.tif,31.8575
169,03500_11500_label_free.tif,29.4859
170,03500_12000_label_free.tif,30.0339
171,03500_12500_label_free.tif,29.5963
172,03500_13000_label_free.tif,26.098
173,03500_13500_label_free.tif,23.6063
174,03500_14000_label_free.tif,23.9286
175,03500_14500_label_free.tif,24.8063
176,03500_15000_label_free.tif,25.6872
177,03500_15500_label_free.tif,28.3996
178,03500_16000_label_free.tif,34.2302
179,03500_16500_label_free.tif,41.7496
180,03500_17000_label_free.tif,42.1995
181,03500_17500_label_free.tif,30.3171
182,03500_18000_label_free.tif,22.86
183,03500_18500_label_free.tif,26.4855
184,03500_19000_label_free.tif,27.9222
185,04000_02500_label_free.tif,17.0057
186,04000_03000_label_free.tif,29.7818
187,04000_03500_label_free.tif,24.2066
188,04000_04000_label_free.tif,19.8257
189,04000_04500_label_free.tif,30.6457
190,04000_05000_label_free.tif,38.2354
191,04000_05500_label_free.tif,31.2885
192,04000_06000_label_free.tif,28.5879
193,04000_06500_label_free.tif,28.9025
194,04000_07000_label_free.tif,30.9516
195,04000_07500_label_free.tif,30.0129
196,04000_08000_label_free.tif,29.5426
197,04000_08500_label_free.tif,35.7502
198,04000_09000_label_free.tif,37.6063
199,04000_09500_label_free.tif,35.412
200,04000_10000_label_free.tif,34.3372
201,04000_10500_label_free.tif,37.1731
202,04000_11000_label_free.tif,37.4288
203,04000_11500_label_free.tif,33.321
204,04000_12000_label_free.tif,33.0711
205,04000_12500_label_free.tif,35.1492
206,04000_13000_label_free.tif,29.2951
207,04000_13500_label_free.tif,23.8761
208,04000_14000_label_free.tif,24.5141
209,04000_14500_label_free.tif,25.3981
210,04000_15000_label_free.tif,27.495
211,04000_15500_label_free.tif,30.3329
212,04000_16000_label_free.tif,31.5503
213,04000_16500_label_free.tif,33.7059
214,04000_17000_label_free.tif,36.5158
215,04000_17500_label_free.tif,30.9684
216,04000_18000_label_free.tif,23.6893
217,04000_18500_label_free.tif,24.9098
218,04000_19000_label_free.tif,27.7854
219,04000_19500_label_free.tif,18.966
220,04500_02500_label_free.tif,19.8516
221,04500_03000_label_free.tif,35.1309
222,04500_03500_label_free.tif,36.8999
223,04500_04000_label_free.tif,13.2155
224,04500_04500_label_free.tif,20.7751
225,04500_05000_label_free.tif,30.2624
226,04500_05500_label_free.tif,28.0253
227,04500_06000_label_free.tif,29.1158
228,04500_06500_label_free.tif,31.0647
229,04500_07000_label_free.tif,37.6476
230,04500_07500_label_free.tif,35.7097
231,04500_08000_label_free.tif,29.9225
232,04500_08500_label_free.tif,34.0062
233,04500_09000_label_free.tif,37.8622
234,04500_09500_label_free.tif,38.8105
235,04500_10000_label_free.tif,39.2093
236,04500_10500_label_free.tif,40.2029
237,04500_11000_label_free.tif,39.8737
238,04500_11500_label_free.tif,35.9894
239,04500_12000_label_free.tif,38.0826
240,04500_12500_label_free.tif,41.484
241,04500_13000_label_free.tif,33.0623
242,04500_13500_label_free.tif,26.8101
243,04500_14000_label_free.tif,25.4715
244,04500_14500_label_free.tif,23.7227
245,04500_15000_label_free.tif,24.6342
246,04500_15500_label_free.tif,27.0153
247,04500_16000_label_free.tif,29.2696
